Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",1206,2,100nF,GRM3195C2A104JA01D
"C201, C202, C205",0402,3,1.3nF,C0402C132J5GACTU
C203,0402,1,2nF,C0402C202J3GACTU
"C204, C209",0402,2,510pF,GRT1555C1H511FA02D
C206,0402,1,910pF,GRT1555C1H911FA02D
"C207, C208",0402,2,200pF,GCM1555C1H201FA16D
"C210, C211",0402,2,75pF,GCM1555C1H750FA16J
C212,0402,1,470pF,GRM1555C2A471GE01D
"C213, C214",0402,2,39pF,GRM1555C2A390JA01D
C215,0402,1,430pF,GRT1555C1H431FA02D
"C216, C219",0805,2,1.6nF,GRM2165C1H162JA01D
"C217, C218",0805,2,910pF,08051A911JAT2A
"J101, J102",733910083,2,SMA,73391-0083
J103,PinHeader_2x10_P2.54mm_Vertical_SMD,1,Conn_02x10_Odd_Even,M20-8761046
"L201, L202, L216, L217, L218",1812,5,3.3uH,1812CS-332XJR
"L203, L204, L205",1812,3,2.2uH,1812CS-222XJR
"L206, L207, L208",1812,3,1.2uH,1812CS-122XJR
L209,1206,1,470nH,AISC-1206-R47G-T
"L210, L211, L213, L214",1812,4,1uH,1812CS-102XJR
L212,1206,1,150nH,AISC-1206-R15G-T
L215,1206,1,82nH,AISC-1206-82NK-T
"R101, R102, R103, R104, R105, R106, R107, R108, R109, R110",0603,10,10k,RC0402JR-7D10KL
"U201, U202, U203, U204, U205, U206, U207, U208, U209, U210",SOT65P220X110-6N,10,AS183-92LF,AS183-92LF
